1N_kgc1nQhcDdho0MgY1Niam7DVBsou3PgH8d4Vcct34	(D)_Chapter__7_-_The_Pit
1oYdywl1XkOqB95PfGcw3LM9x_NOIuQPSvcq_K8v5GGs	Chapter_07_Drafts_MASTER_PACKAGE
1D6hUVgHi3f_aJwxnYkevHVYxWJVbphh9cCkcZc85HEo	Chapter_01_Drafts_MASTER_PACKAGE
1NjcYtmx2wSTHcFVsHz0wdclkh-ieo6GA72aSSowoFPo	WOTS_Chapter_1_Bin_Index
1tBodxYU5EzuFOGMR46F64o9U8FISIFvMIaXn6QZ_SIQ	(R) Chapter: 1 - Stardust to Stardust 
1b0h6T2DlMd-5sm1xGdF1e1Qrgddb2D-PU8P8GZ20Hk0	-Final Chapter 1 Revision Prompt-
1AVkfasTxEDmov92ZfAJO2oMrfjvbR81iiupgRitAuvk	Chapter1_Q_Final
1Y-HNtUCT4u2qmzQVDgpgtE_oJhX4cO9DGnAQc5IRxTQ	Chapter1_DEFINITIVE
1hkwgdCRoY1Km41PxPust4Umo0_nNKNM5MOrEXNr22LY	Chapter1_PERFECTED_FINAL
1BqgZCEllPXo97cvz7UiwoXYzdEcFv7CYPIWeuXl4K14	Chapter1_PERFECTED_FINAL
1dBjRsoqexbBVZUYJTbZlybhH8cMGE1twD9kDtXh1kX8	Chapter2_Weight_of_the_Sky
1wAivwO_8k5la6qbpd61lqxz2R23CCKF6hrYMNuQB6XM	--CHAPTER 1- STARDUST TO STARDUST--
1HqyMGoK8NUyaFx1yZwU_B9tcxtFbd7a_ITzZX1IZXpI	(Q) Chapter: 1 - Stardust to Stardust
19Actl4QkJKQG6tyNvGO0XKEgg7W8FqGqFh6LTsBYdn8	(R) Chapter: 1 - Stardust to Stardust 
13PvrZoScqJoZGy7C-WMQ3e-OO6Eoo2lBPfd95GCzWno	Chapter_1_Version_Q
1xM4PJisjiArISTWalEW6oiGAgPG7ldg9kDmFFWDgi4A	(Final) Chapter: 1 - Stardust to Stardust
1a7wqHtTdQN9rxbcMsg2zJa-CPkqYu4rqdw2AwfjtHjs	(Notes) (P) Chapter: 1 - Stardust to Stardust
14ZvNHyusHhEqvq7IP-IMKiIEQ1Lmn0Hz0CodkMJhGqE	Chapter_1_Version_O
1kuwV0FUwT3Dc2EU3CK9ojEWTlN3R8GNo8u8Sc8Zmj5E	(A) Part 1 [Chapters 1-10]
16rHvLEMPfHUncZwbcgbwS9Wuim6HLSoZLRDddY8obn8	(B) Part 1 {Chapters 1-10}
1P1cTFXD8ZdXyN0r6tfuIfCmMPS6E-Pcw4DrMau8eb9E	Part 2 {Chapters 11-20}
1Q3f6XFlTodANFVbNr2ebSM5Mx4UnPWdre7NCwhopKgE	Chapter: 1 Proof of Authorship 1.1
1_B-LtvTW3wt57XkM8EO7Au6R7cHTYXb8TvmTugJNtc0	Chapter 10:  Version X Meta Prompt
1g_IyJmKgu-KesisMhiWPsTAcJWIO09ksqLwgemdrI3Y	12.0 Chapter: 1 Specific Protocol 
1WgPgpkfYlsdGwnb0XDq34Kd8TZmH18u6ICS7jPT7qVM	(Revision Prompt (N)  Chapter 1 - Stardust to Stardust
1zrznzy9RhY5h6jAkSSWCT3FMVCfpxvGfXFJMJwjq0qc	CHAPTER 1 - MERGE PROTOCOL
1dAVOiCaa3g6lx3r7lLQZ6sxqVOYV5ZsgnfMpxgNJuyk	(B) Chapter: 10 - Forsaken
1V9RyFYG8o7ieepXZ6CbzAjd-7W-qHWfj5ZZrEilAXJU	(A) Chapter 10: Forsaken
1O757uRApIaK0uHbVHyNCM2Au8lmGHA6cH-c56KT6Xms	(N) Chapter 1 - Stardust to Stardust
1h4Syw9MCUWgtJuij2SsgslfYGzTRU4SHz3vX94R_Khs	(G) Chapter: 10 Forsaken
1ZAfaG-Jc-4YVf30Q5to9u4BeWk9Tl7gK-RR8yrKb5rE	(H) Chapter: 10 Forsaken
1tQ2WZiIV4UDA3Al2aYgIHpVviwcEmqLDqjOQHs_dzxg	Chapter_10_Forsaken_FINAL_DEFINITIVE
1eEillHIiOZLGJ4vj0Bm_9zjn3KjvxSHb291Rn7qsT9o	Chapter: 10 - MASTER BRIEFING
1O6GIpNPj3kHgPzocyyWUSo8V1IG6SjkXA7tGZ-SjH5c	(F) Chapter 10: Forsaken
1HgITZ_aQyru0299o0N46Bd_y_Mrj7p33mnT_hxuBBTo	(Prompt Guide (E)) Chapter 10: Forsaken
1R2Y1Z5vpxbGFienlix_MBycUzjsEioARy3iEtyh6iwI	(E) Chapter 10: Forsaken
1OsSCXKukOBpvFWhdPN1zezpZns4goyxma4LpCeh65gY	The Weight of the Sky: Chapter 10 V4
1TWL07cVRtm1up97NeN3gXiB3S1KmQVgVKW7ax-D8sts	(D) Chapter 10: Forsaken
1RAX0RnxE_BjKSt8o00HV4O0RQINFTlmTjaf5jIVBB4o	(Revision Prompt (D)) Chapter 10: Forsaken
1WsdttLL1kbujxLyedbUOcmMheKspK9E26RM975_clwc	(Revision Prompt (C)) Chapter 10: Forsaken
1vd4nU1hUkJblTtaTt2Se4e2QUBV8TQZ6NdaSZOe6DcQ	Version * CHAPTER 10- FORSAKEN
1HOwFTTV3qXEgLehumyXCikug0EFVPVl-dlEI-AHMURs	(C) Chapter 10: Forsaken
1YolOPCW-Y6wjlvOetbttqrtmG9Z15F4iUrIKXCFQ0ns	(C) Chapter 10: Forsaken
1qCMa99yPFqsZdjG3SXRWYnMfeUf6q9YZJRJewx2TRQ4	Chapter 10_ Forsaken
1G3hxjxAN2RYYFEQ2LSS4Bs3VUrDezNsS7lOz_29XnAM	(Final) Chapter: 7 - The Pit
1Oc5a8Cwy91Hg-xdfROvUtr8OjDCGRlw7lz7CBC_l5kI	Chapter: 8 (Final)
1lMmVYvwHmYuExByWEwlh-rGpUbirDPG7uPeR4gFh37g	(Final) Chapter 5 - The Snare
1GLOQdhB-5C8W4hJ32jLGWakyv3cFshxBMGxtZTCUysY	(M) Chapter 1- Stardust to Stardust
1ySPYKb-liIuWucG5iCAV8GGzWCCWRKDKp9DDBnat0OI	(O) Chapter 1- Stardust to Stardust
1SWHeMSYXvpYEhu_qRTXHMyigv39ePsT2IQ7UG1X7vQ8	(N) CHAPTER 1- STARDUST TO STARDUST
