status	best_score	local_basename	best_drive_name	best_drive_id	best_has_document_xml	best_archive_folder	local_path
exact_or_contained	100	-Final_Chapter_1_Revision_Prompt-.txt	-Final Chapter 1 Revision Prompt-	1b0h6T2DlMd-5sm1xGdF1e1Qrgddb2D-PU8P8GZ20Hk0	true	0001__-Final_Chapter_1_Revision_Prompt-__1b0h6T2DlMd-5sm1xGdF1e1Qrgddb2D-PU8P8GZ20Hk0	src/data-layer/ingestion-buffer/gdrive_raw/-Final_Chapter_1_Revision_Prompt-.txt
unmatched	0	(A)_Chapter_1_-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(A)_Chapter_1-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_1-_Stardust_to_Stardust.txt
unmatched	0	(A)_Chapter_1:_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	(A)_Chapter_2-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(A)_Chapter_2:_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_2:_Living_Sacrifice.txt
unmatched	0	(A)_Chapter_3_-_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_3_-_Lift_Up.txt
unmatched	0	(A)_Chapter_3-_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_3-_Lift_Up.txt
unmatched	0	(A)_Chapter_5_-_The_Snare.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_5_-_The_Snare.txt
unmatched	0	(A)_Chapter_6:_Beelzebub,_Beelzebub.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_6:_Beelzebub,_Beelzebub.txt
unmatched	0	(A)_Chapter:_1_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter:_1_Stardust_to_Stardust.txt
unmatched	0	(A)Chapter_8:_Sea_People.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)Chapter_8:_Sea_People.txt
unmatched	0	(B)_Chapter_1_-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(B)_Chapter_1-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_1-_Stardust_to_Stardust.txt
unmatched	0	(B)_Chapter_1:_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	(B)_Chapter_2-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(B)_Chapter_2:_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_2:_Living_Sacrifice.txt
unmatched	0	(B)_Chapter_3-_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_3-_Lift_Up.txt
unmatched	0	(B)_Chapter_3:_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_3:_Lift_Up.txt
unmatched	0	(B)_Chapter_5-_The_Snare.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_5-_The_Snare.txt
unmatched	0	(B)_Chapter_6_-_Beelzebub,_Beelzebub.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_6_-_Beelzebub,_Beelzebub.txt
unmatched	0	(B)_Chapter_7:_The_Pit.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_7:_The_Pit.txt
unmatched	0	(B)_Chapter_9:_The_Ascent.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_9:_The_Ascent.txt
unmatched	0	(B)_Chapter:_1_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter:_1_Stardust_to_Stardust.txt
unmatched	0	(B)_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)_Stardust_to_Stardust.txt
unmatched	0	(B)Chapter_8:_Sea_People.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(B)Chapter_8:_Sea_People.txt
unmatched	0	(C)_Chapter_1_-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(C)_Chapter_1-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter_1-_Stardust_to_Stardust.txt
unmatched	0	(C)_Chapter_2-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(C)_Chapter_3_-_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter_3_-_Lift_Up.txt
unmatched	0	(C)_Chapter_3-_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter_3-_Lift_Up.txt
unmatched	0	(C)_Chapter_4_-_Pilgrimage.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter_4_-_Pilgrimage.txt
unmatched	0	(C)_Chapter_4-_Pilgrimage.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter_4-_Pilgrimage.txt
unmatched	0	(C)_Chapter_6-_Beelzebub,_Beelzebub.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter_6-_Beelzebub,_Beelzebub.txt
unmatched	0	(C)_Chapter:_1_-_Stardust_to_Stardust_.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter:_1_-_Stardust_to_Stardust_.txt
unmatched	0	(C)_Chapter:_7_-_The_Pit.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter:_7_-_The_Pit.txt
unmatched	0	(C)_Chapter:_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter:_Stardust_to_Stardust.txt
unmatched	0	(C)Chapter_8:_Sea_People.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(C)Chapter_8:_Sea_People.txt
unmatched	0	(D)_Chapter_1_-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(D)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(D)_Chapter_2_-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(D)_Chapter_2_-_Living_Sacrifice.txt
unmatched	0	(D)_Chapter_2-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(D)_Chapter_2-_Living_Sacrifice.txt
exact_or_contained	100	(D)_Chapter:_7_-_The_Pit.txt	(D)_Chapter__7_-_The_Pit	1N_kgc1nQhcDdho0MgY1Niam7DVBsou3PgH8d4Vcct34	true	0008__D__Chapter__7_-_The_Pit__1N_kgc1nQhcDdho0MgY1Niam7DVBsou3PgH8d4Vcct34	src/data-layer/ingestion-buffer/gdrive_raw/(D)_Chapter:_7_-_The_Pit.txt
unmatched	0	(E)_Chapter_1_-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(E)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(E)_Chapter_1-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(E)_Chapter_1-_Stardust_to_Stardust.txt
unmatched	0	(E)_Chapter_2_-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(E)_Chapter_2_-_Living_Sacrifice.txt
unmatched	0	(E)_Chapter_2-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(E)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(E)_Chapter_3-_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(E)_Chapter_3-_Lift_Up.txt
unmatched	0	(F)_Chapter_1_-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(F)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(F)_Chapter_1:_Stardust_to_Stardust_.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(F)_Chapter_1:_Stardust_to_Stardust_.txt
unmatched	0	(F)_Chapter_2-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(F)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(F)_Chapter_3-_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(F)_Chapter_3-_Lift_Up.txt
unmatched	0	(F)_Chapter:_1_Stardust_to_Stardust_.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(F)_Chapter:_1_Stardust_to_Stardust_.txt
unmatched	0	(Final) Chapter: 7 - The Pit.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(Final) Chapter: 7 - The Pit.txt
unmatched	0	(Final)_Chapter_1_-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(Final)_Chapter_1:_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	(Final)_Chapter_2-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(Final)_Chapter_3-_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_3-_Lift_Up.txt
unmatched	0	(Final)_Chapter_3:_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_3:_Lift_Up.txt
exact_or_contained	100	(Final)_Chapter_5_-_The_Snare.txt	(Final) Chapter 5 - The Snare	1lMmVYvwHmYuExByWEwlh-rGpUbirDPG7uPeR4gFh37g	true	0005__Final_Chapter_5_-_The_Snare__1lMmVYvwHmYuExByWEwlh-rGpUbirDPG7uPeR4gFh37g	src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_5_-_The_Snare.txt
unmatched	0	(G)_Chapter_1:_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(G)_Chapter_1:_Stardust_to_Stardust.txt
probable	77	(G)_Chapter_2-_Living_Sacrifice.txt	•(G) Chapter 2- Living Sacrifice	1lIqobbwQqWNyBdBuqqoXp9HDT2ddOQ8nxzWIyCWas0s	true	0003__G_Chapter_2-_Living_Sacrifice__1lIqobbwQqWNyBdBuqqoXp9HDT2ddOQ8nxzWIyCWas0s	src/data-layer/ingestion-buffer/gdrive_raw/(G)_Chapter_2-_Living_Sacrifice.txt
exact_or_contained	100	(G)_Chapter_3-_Lift_Up.txt	(G) Chapter 3- Lift Up	1XobNLLJg3YY72D9i_360V-UtttUbr_5mhgN1YdMsrTk	true	0004__G_Chapter_3-_Lift_Up__1XobNLLJg3YY72D9i_360V-UtttUbr_5mhgN1YdMsrTk	src/data-layer/ingestion-buffer/gdrive_raw/(G)_Chapter_3-_Lift_Up.txt
weak_review	67	(G)_Final_)_Chapter:_10_-_Forsaken.txt	Chapter 10.5	1j7Uyiu5S0N_viG0-4dyEEMsjjGdcqawbnExK9zUs7pk	true	0036__Chapter_10.5__1j7Uyiu5S0N_viG0-4dyEEMsjjGdcqawbnExK9zUs7pk	src/data-layer/ingestion-buffer/gdrive_raw/(G)_Final_)_Chapter:_10_-_Forsaken.txt
unmatched	0	(I)_(Notes)_Chapter:_1_Stardust_to_Stardust_.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(I)_(Notes)_Chapter:_1_Stardust_to_Stardust_.txt
unmatched	0	(I)_Chapter:_1_Stardust_to_Stardust_.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(I)_Chapter:_1_Stardust_to_Stardust_.txt
unmatched	0	(N)_Chapter_1_-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(N)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(N)_CHAPTER_1-_STARDUST_TO_STARDUST.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(N)_CHAPTER_1-_STARDUST_TO_STARDUST.txt
exact_or_contained	100	(Notes)_(P)_Chapter:_1_-_Stardust_to_Stardust.txt	(Notes) (P) Chapter: 1 - Stardust to Stardust	1a7wqHtTdQN9rxbcMsg2zJa-CPkqYu4rqdw2AwfjtHjs	true	0012__Notes_P_Chapter_1_-_Stardust_to_Stardust__1a7wqHtTdQN9rxbcMsg2zJa-CPkqYu4rqdw2AwfjtHjs	src/data-layer/ingestion-buffer/gdrive_raw/(Notes)_(P)_Chapter:_1_-_Stardust_to_Stardust.txt
unmatched	0	(Notes)_Chapter_2-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(Notes)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(Notes)_Chapter_2:_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(Notes)_Chapter_2:_Living_Sacrifice.txt
unmatched	0	(O)_Chapter_1-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(O)_Chapter_1-_Stardust_to_Stardust.txt
probable	78	(P)_Chapter:_1_-_Stardust_to_Stardust.txt	(Notes) (P) Chapter: 1 - Stardust to Stardust	1a7wqHtTdQN9rxbcMsg2zJa-CPkqYu4rqdw2AwfjtHjs	true	0012__Notes_P_Chapter_1_-_Stardust_to_Stardust__1a7wqHtTdQN9rxbcMsg2zJa-CPkqYu4rqdw2AwfjtHjs	src/data-layer/ingestion-buffer/gdrive_raw/(P)_Chapter:_1_-_Stardust_to_Stardust.txt
exact_or_contained	100	(Prompt_Guide_(E))_Chapter_10:_Forsaken.txt	(Prompt Guide (E)) Chapter 10: Forsaken	1HgITZ_aQyru0299o0N46Bd_y_Mrj7p33mnT_hxuBBTo	true	0013__Prompt_Guide_E_Chapter_10_Forsaken__1HgITZ_aQyru0299o0N46Bd_y_Mrj7p33mnT_hxuBBTo	src/data-layer/ingestion-buffer/gdrive_raw/(Prompt_Guide_(E))_Chapter_10:_Forsaken.txt
exact_or_contained	100	(R) Chapter: 1 - Stardust to Stardust .txt	(R) Chapter: 1 - Stardust to Stardust 	1tBodxYU5EzuFOGMR46F64o9U8FISIFvMIaXn6QZ_SIQ	true	0002__R_Chapter_1_-_Stardust_to_Stardust__1tBodxYU5EzuFOGMR46F64o9U8FISIFvMIaXn6QZ_SIQ	src/data-layer/ingestion-buffer/gdrive_raw/(R) Chapter: 1 - Stardust to Stardust .txt
exact_or_contained	100	(R)_Chapter:_1_-_Stardust_to_Stardust_.txt	(R) Chapter: 1 - Stardust to Stardust 	1tBodxYU5EzuFOGMR46F64o9U8FISIFvMIaXn6QZ_SIQ	true	0002__R_Chapter_1_-_Stardust_to_Stardust__1tBodxYU5EzuFOGMR46F64o9U8FISIFvMIaXn6QZ_SIQ	src/data-layer/ingestion-buffer/gdrive_raw/(R)_Chapter:_1_-_Stardust_to_Stardust_.txt
weak_review	67	(Revision_Prompt_(D))_Chapter_10:_Forsaken.txt	Chapter 10.5	1j7Uyiu5S0N_viG0-4dyEEMsjjGdcqawbnExK9zUs7pk	true	0036__Chapter_10.5__1j7Uyiu5S0N_viG0-4dyEEMsjjGdcqawbnExK9zUs7pk	src/data-layer/ingestion-buffer/gdrive_raw/(Revision_Prompt_(D))_Chapter_10:_Forsaken.txt
unmatched	0	(Revision_Prompt_(N)__Chapter_1_-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(Revision_Prompt_(N)__Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(Revisions)_Chapter_1:_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(Revisions)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	(SDP)_v2.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(SDP)_v2.txt
unmatched	0	(X)_Chapter_1__Stardust_to_Stardust_(1).txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(X)_Chapter_1__Stardust_to_Stardust_(1).txt
unmatched	0	(X)_Chapter_1__Stardust_to_Stardust_(2).txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(X)_Chapter_1__Stardust_to_Stardust_(2).txt
unmatched	0	(X)_Chapter_1_-_Stardust_to_Stardust.docx.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(X)_Chapter_1_-_Stardust_to_Stardust.docx.txt
unmatched	0	(X)_Chapter_1_-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(X)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(X)_Chapter_1:_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(X)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	(Z)_Chapter_1:_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(Z)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	*Chapter_1:_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	*Chapter_2-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_2-_Living_Sacrifice.txt
unmatched	0	*Chapter_3:_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_3:_Lift_Up.txt
unmatched	0	*Chapter_4:_Pilgrimage.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_4:_Pilgrimage.txt
unmatched	0	*Chapter_7:_The_Pit.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_7:_The_Pit.txt
unmatched	0	*Chapter_8:_Sea_People.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_8:_Sea_People.txt
unmatched	0	*Chapter_9:_The_Ascent.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_9:_The_Ascent.txt
exact_or_contained	100	•(G)_Chapter_2-_Living_Sacrifice.txt	•(G) Chapter 2- Living Sacrifice	1lIqobbwQqWNyBdBuqqoXp9HDT2ddOQ8nxzWIyCWas0s	true	0003__G_Chapter_2-_Living_Sacrifice__1lIqobbwQqWNyBdBuqqoXp9HDT2ddOQ8nxzWIyCWas0s	src/data-layer/ingestion-buffer/gdrive_raw/•(G)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	•(G)_Chapter:_1_Stardust_to_Stardust_.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/•(G)_Chapter:_1_Stardust_to_Stardust_.txt
unmatched	0	1.0_Revision.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/1.0_Revision.txt
unmatched	0	10.0_Blueprint_for_The_Ascent_of_Daniel:_The_Archetype_of_Sacrifice_(NYT_Bestseller_Focus).txt			false		src/data-layer/ingestion-buffer/gdrive_raw/10.0_Blueprint_for_The_Ascent_of_Daniel:_The_Archetype_of_Sacrifice_(NYT_Bestseller_Focus).txt
probable	74	10.0_Mass_Market.txt	(Old) 10.0 Mass Market	1R-3ttk7q-CXeGPofkbQ-PJ92z4lx0JkEPYDwT_iA2UQ	true	0015__Old_10.0_Mass_Market__1R-3ttk7q-CXeGPofkbQ-PJ92z4lx0JkEPYDwT_iA2UQ	src/data-layer/ingestion-buffer/gdrive_raw/10.0_Mass_Market.txt
exact_or_contained	100	10.0_MASTER_SYSTEM_FOR_CHAPTER_REVISION.txt	10.0 MASTER SYSTEM FOR CHAPTER REVISION	1INT40kAV4aMrHxVqnOBWY5gMCo8_b19mCOs5B9pkkQA	true	0016__10.0_MASTER_SYSTEM_FOR_CHAPTER_REVISION__1INT40kAV4aMrHxVqnOBWY5gMCo8_b19mCOs5B9pkkQA	src/data-layer/ingestion-buffer/gdrive_raw/10.0_MASTER_SYSTEM_FOR_CHAPTER_REVISION.txt
exact_or_contained	100	11.0_Error_Catalog.txt	11.0 Error Catalog	1zZY-E354TAZRM_Zzv9pfSmkvJtSHDJFpaP-uWne5Sac	true	0017__11.0_Error_Catalog__1zZY-E354TAZRM_Zzv9pfSmkvJtSHDJFpaP-uWne5Sac	src/data-layer/ingestion-buffer/gdrive_raw/11.0_Error_Catalog.txt
probable	74	11.0_Final_Revision.txt	(Old) 11.0 Final Revision	1ASj5oM5yY1Ewa7IEk3aSACnn6_9PyH5zmr_3HTlLdXk	true	0018__Old_11.0_Final_Revision__1ASj5oM5yY1Ewa7IEk3aSACnn6_9PyH5zmr_3HTlLdXk	src/data-layer/ingestion-buffer/gdrive_raw/11.0_Final_Revision.txt
exact_or_contained	100	11.0_Marketability_.txt	11.0 Marketability 	17LbSa_mXn1AqggY06lcrn7fIpIWkMisMZYIoNHofxs4	true	0019__11.0_Marketability__17LbSa_mXn1AqggY06lcrn7fIpIWkMisMZYIoNHofxs4	src/data-layer/ingestion-buffer/gdrive_raw/11.0_Marketability_.txt
unmatched	0	12.0_Perfection.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/12.0_Perfection.txt
unmatched	0	13.0_Claude.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/13.0_Claude.txt
exact_or_contained	100	13.0_GENERAL_PRINCIPLES.txt	13.0 GENERAL PRINCIPLES	1PuQA-EZ6b3jclY7Kg_D6GaOrhuJ0Ni4K5SeCbgokRUM	true	0020__13.0_GENERAL_PRINCIPLES__1PuQA-EZ6b3jclY7Kg_D6GaOrhuJ0Ni4K5SeCbgokRUM	src/data-layer/ingestion-buffer/gdrive_raw/13.0_GENERAL_PRINCIPLES.txt
weak_review	68	2.0_Critique_／_Analysis_Guide.txt	2.0 Critique / Analysis Guide	1-wIzrxfB8JuYdgegmFrYlL2xm0a00pyDgqP9sv584vc	true	0021__2.0_Critique_Analysis_Guide__1-wIzrxfB8JuYdgegmFrYlL2xm0a00pyDgqP9sv584vc	src/data-layer/ingestion-buffer/gdrive_raw/2.0_Critique_／_Analysis_Guide.txt
